Font: Xiaolai  Style: Regular
Point Size: 33   SP/PD Ratio: 15.2%

Characters included: 42244/43124
Missing characters: 880
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 5884	Hex: 16FC	Char [᛼]
ID: 5886	Hex: 16FE	Char [᛾]
ID: 5894	Hex: 1706	Char [ᜆ]
ID: 5901	Hex: 170D	Char [ᜍ]
ID: 5904	Hex: 1710	Char [ᜐ]
ID: 5926	Hex: 1726	Char [ᜦ]
ID: 5927	Hex: 1727	Char [ᜧ]
ID: 5946	Hex: 173A	Char [᜺]
ID: 5947	Hex: 173B	Char [᜻]
ID: 5948	Hex: 173C	Char [᜼]
ID: 5954	Hex: 1742	Char [ᝂ]
ID: 5975	Hex: 1757	Char [᝗]
ID: 5996	Hex: 176C	Char [ᝬ]
ID: 5997	Hex: 176D	Char [᝭]
ID: 5998	Hex: 176E	Char [ᝮ]
ID: 5999	Hex: 176F	Char [ᝯ]
ID: 6000	Hex: 1770	Char [ᝰ]
ID: 6001	Hex: 1771	Char [᝱]
ID: 6003	Hex: 1773	Char [ᝳ]
ID: 6004	Hex: 1774	Char [᝴]
ID: 6059	Hex: 17AB	Char [ឫ]
ID: 6064	Hex: 17B0	Char [ឰ]
ID: 6065	Hex: 17B1	Char [ឱ]
ID: 6066	Hex: 17B2	Char [ឲ]
ID: 6067	Hex: 17B3	Char [ឳ]
ID: 6068	Hex: 17B4	Char [឴]
ID: 6069	Hex: 17B5	Char [឵]
ID: 6083	Hex: 17C3	Char [ៃ]
ID: 6087	Hex: 17C7	Char [ះ]
ID: 6105	Hex: 17D9	Char [៙]
ID: 6106	Hex: 17DA	Char [៚]
ID: 6107	Hex: 17DB	Char [៛]
ID: 6108	Hex: 17DC	Char [ៜ]
ID: 6111	Hex: 17DF	Char [៟]
ID: 6127	Hex: 17EF	Char [៯]
ID: 6133	Hex: 17F5	Char [៵]
ID: 6134	Hex: 17F6	Char [៶]
ID: 6136	Hex: 17F8	Char [៸]
ID: 6137	Hex: 17F9	Char [៹]
ID: 6138	Hex: 17FA	Char [៺]
ID: 6139	Hex: 17FB	Char [៻]
ID: 6140	Hex: 17FC	Char [៼]
ID: 6176	Hex: 1820	Char [ᠠ]
ID: 6184	Hex: 1828	Char [ᠨ]
ID: 6185	Hex: 1829	Char [ᠩ]
ID: 6186	Hex: 182A	Char [ᠪ]
ID: 6189	Hex: 182D	Char [ᠭ]
ID: 6201	Hex: 1839	Char [ᠹ]
ID: 6202	Hex: 183A	Char [ᠺ]
ID: 6203	Hex: 183B	Char [ᠻ]
ID: 6208	Hex: 1840	Char [ᡀ]
ID: 6213	Hex: 1845	Char [ᡅ]
ID: 6226	Hex: 1852	Char [ᡒ]
ID: 6238	Hex: 185E	Char [ᡞ]
ID: 6241	Hex: 1861	Char [ᡡ]
ID: 6242	Hex: 1862	Char [ᡢ]
ID: 6243	Hex: 1863	Char [ᡣ]
ID: 6244	Hex: 1864	Char [ᡤ]
ID: 6263	Hex: 1877	Char [ᡷ]
